,predict_share
Giannis Antetokounmpo,1.0181223863218098
LeBron James,0.7278152174294665
Anthony Davis,0.35674346717340144
Luka Doncic,0.3447283070396028
Domantas Sabonis,0.31470376435980263
James Harden,0.27065610821501707
Kawhi Leonard,0.24810913073397803
Nikola Jokic,0.23707529830583055
Russell Westbrook,0.08215781605736613
Bam Adebayo,0.04881661960201662
Donovan Mitchell,0.04806041066742986
Khris Middleton,0.04604875811772752
Ben Simmons,0.040263069524343637
Brandon Ingram,0.011623136365191897
Kyle Lowry,-0.004526182185534203
Jayson Tatum,-0.02771008204976333
Rudy Gobert,-0.03117934204797622
Joel Embiid,-0.05104861170074629
Pascal Siakam,-0.0554802466187689
Kemba Walker,-0.057858984837930776
Devin Booker,-0.06759279737663204
Trae Young,-0.13216544928653493
Jimmy Butler,-0.13684059364183546
Chris Paul,-0.1875210711256988
