,model,param,mae_avg,mse_avg,mape_avg,mvp_avg,top3_order_avg,top3_coverage_avg,mvp_in_top3_avg,mvp_in_top5_avg
0,LinearRegression,{},792031949.4349701,5.2443501292484454e+20,inf,0.5263157894736842,0.02631578947368421,0.6754385964912282,0.9210526315789473,0.9210526315789473
1,Ridge,"{'alpha': 1e-05, 'random_state': 221}",0.10354840919725204,0.02226869982234138,inf,0.5526315789473685,0.02631578947368421,0.6754385964912282,0.9210526315789473,0.9210526315789473
2,Ridge,"{'alpha': 0.0001, 'random_state': 221}",0.10353036722123507,0.02226438960959313,inf,0.5526315789473685,0.02631578947368421,0.6754385964912282,0.9210526315789473,0.9210526315789473
3,Ridge,"{'alpha': 0.001, 'random_state': 221}",0.10340691546682519,0.02223441441794388,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
4,Ridge,"{'alpha': 0.01, 'random_state': 221}",0.1031230756171441,0.02216051002924293,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
5,Ridge,"{'alpha': 0.1, 'random_state': 221}",0.10263412562782555,0.02201184909625506,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
6,Lasso,"{'alpha': 1e-05, 'random_state': 221}",0.1019221634537194,0.021831848707776873,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
7,Lasso,"{'alpha': 0.0001, 'random_state': 221}",0.10022862810031083,0.0213962868926661,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
8,Lasso,"{'alpha': 0.001, 'random_state': 221}",0.09351208976262046,0.020381442580866885,inf,0.5526315789473685,0.07894736842105263,0.692982456140351,0.8947368421052632,0.9210526315789473
9,Lasso,"{'alpha': 0.01, 'random_state': 221}",0.08967483123570959,0.021308216259634093,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.8421052631578947,0.8947368421052632
10,Lasso,"{'alpha': 0.1, 'random_state': 221}",0.12138921379128083,0.03444723901663274,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.8421052631578947,0.9210526315789473
11,ElasticNet,"{'alpha': 1e-05, 'l1_ratio': 0.1, 'random_state': 221}",0.10212566949648885,0.021891295278224997,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
12,ElasticNet,"{'alpha': 1e-05, 'l1_ratio': 0.3, 'random_state': 221}",0.10207770217071675,0.021877184345569522,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
13,ElasticNet,"{'alpha': 1e-05, 'l1_ratio': 0.5, 'random_state': 221}",0.10202740279532535,0.021863157780167303,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
14,ElasticNet,"{'alpha': 1e-05, 'l1_ratio': 0.7, 'random_state': 221}",0.1019835279393108,0.02185030744071074,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
15,ElasticNet,"{'alpha': 1e-05, 'l1_ratio': 0.9, 'random_state': 221}",0.10194310083448872,0.021837850163209792,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
16,ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'random_state': 221}",0.1017636150480346,0.021788376564518142,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
17,ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'random_state': 221}",0.10136288433701733,0.021681091268345432,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
18,ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'random_state': 221}",0.1010742606224036,0.021603000188484288,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
19,ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'random_state': 221}",0.10075896425851523,0.021521720389673673,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
20,ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'random_state': 221}",0.1004077469346002,0.021437945760337473,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
21,ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.1, 'random_state': 221}",0.09923759138298201,0.021175337545611492,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
22,ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.3, 'random_state': 221}",0.09678558934425548,0.02074312253783206,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
23,ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.5, 'random_state': 221}",0.09536480088226623,0.020553744844712202,inf,0.5526315789473685,0.07894736842105263,0.6754385964912282,0.8947368421052632,0.9210526315789473
24,ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.7, 'random_state': 221}",0.09441932832658263,0.020436531069534847,inf,0.5526315789473685,0.07894736842105263,0.6754385964912282,0.8947368421052632,0.9210526315789473
25,ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.9, 'random_state': 221}",0.09372982587036824,0.02037495031817855,inf,0.5526315789473685,0.07894736842105263,0.6842105263157897,0.8947368421052632,0.9210526315789473
26,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.1, 'random_state': 221}",0.09336644968458085,0.020488797861675904,inf,0.5526315789473685,0.07894736842105263,0.692982456140351,0.8947368421052632,0.9210526315789473
27,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.3, 'random_state': 221}",0.09186416038378599,0.020712125586898732,inf,0.5263157894736842,0.02631578947368421,0.6666666666666669,0.8421052631578947,0.9210526315789473
28,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.5, 'random_state': 221}",0.09079024910127542,0.020771320248747425,inf,0.5263157894736842,0.02631578947368421,0.6666666666666669,0.8421052631578947,0.9210526315789473
29,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.7, 'random_state': 221}",0.0901383195416693,0.020948170271134825,inf,0.5263157894736842,0.02631578947368421,0.6578947368421054,0.8421052631578947,0.8947368421052632
30,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.9, 'random_state': 221}",0.08976681003300187,0.021181226162905083,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.8421052631578947,0.8947368421052632
31,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.1, 'random_state': 221}",0.09274083651938299,0.021986398791818768,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.8157894736842105,0.8947368421052632
32,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.3, 'random_state': 221}",0.09543553812648452,0.024327772126337868,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.7894736842105263,0.9210526315789473
33,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.5, 'random_state': 221}",0.10057718919887133,0.026451878905849904,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.8421052631578947,0.9210526315789473
34,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.7, 'random_state': 221}",0.10865999508625197,0.029060238609029124,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.8421052631578947,0.9210526315789473
35,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.9, 'random_state': 221}",0.11703083613245457,0.0324392137278962,inf,0.5263157894736842,0.02631578947368421,0.649122807017544,0.8421052631578947,0.9210526315789473
36,SVR,"{'kernel': 'linear', 'C': 0.1}",0.09809281133536252,0.021554426752945728,inf,0.5526315789473685,0.05263157894736842,0.6842105263157896,0.9210526315789473,0.9210526315789473
37,SVR,"{'kernel': 'linear', 'C': 1}",0.10038974876299814,0.022351310681109487,inf,0.5526315789473685,0.07894736842105263,0.692982456140351,0.9210526315789473,0.9210526315789473
38,SVR,"{'kernel': 'linear', 'C': 10}",0.10182451123710129,0.022909682689231513,inf,0.5526315789473685,0.07894736842105263,0.692982456140351,0.9210526315789473,0.9210526315789473
39,SVR,"{'kernel': 'linear', 'C': 100}",0.10193620591405535,0.023015511489932878,inf,0.5526315789473685,0.05263157894736842,0.6842105263157897,0.9210526315789473,0.9210526315789473
40,SVR,"{'kernel': 'linear', 'C': 1000}",0.10267484292764889,0.02308341058805743,inf,0.5526315789473685,0.10526315789473684,0.7017543859649124,0.9210526315789473,0.9210526315789473
41,SVR,"{'kernel': 'rbf', 'C': 0.1}",0.09353760500525318,0.02236144392854396,inf,0.5263157894736842,0.0,0.6842105263157896,0.868421052631579,0.9210526315789473
42,SVR,"{'kernel': 'rbf', 'C': 1}",0.09642111781731888,0.021206459867457606,inf,0.5789473684210527,0.02631578947368421,0.6754385964912281,0.8421052631578947,0.9210526315789473
