,season,player,true,true_rank,pred,pred_rank
0,1990,A.C. Green,0.0,12.0,0.03081235803799859,17.0
1,1981,Adrian Dantley,0.022,11.0,0.2404104630115935,5.0
2,1982,Adrian Dantley,0.01,14.0,0.24912393288613732,6.0
3,1984,Adrian Dantley,0.116,7.0,0.23438335020673204,3.0
4,1985,Adrian Dantley,0.0,16.0,0.013557758752613586,19.0
5,1986,Adrian Dantley,0.003,12.0,0.3121482505141666,3.0
6,2010,Al Horford,0.0,11.0,0.013584685266305851,15.0
7,2011,Al Horford,0.0,12.0,-0.015574732989245166,20.0
8,2015,Al Horford,0.0,9.0,0.027029544611739953,16.0
9,2016,Al Horford,0.0,10.0,-0.07467183371092279,23.0
10,2018,Al Horford,0.0,13.0,-0.06699508658926734,23.0
11,1982,Alex English,0.017,12.0,0.08519044771125348,12.0
12,1983,Alex English,0.056,6.0,0.317193509353863,3.0
13,1984,Alex English,0.0,13.0,0.0716784238464776,11.0
14,1985,Alex English,0.015,12.0,0.060596551383676894,14.0
15,1986,Alex English,0.071,7.0,0.12799246096679376,7.0
16,1987,Alex English,0.003,11.0,0.03229341139091674,16.0
17,1988,Alex English,0.005,10.0,0.09020720720404099,9.0
18,1989,Alex English,0.0,12.0,0.06897034572289176,13.0
19,2000,Allan Houston,0.0,14.0,-0.009215186482522453,18.0
20,2001,Allan Houston,0.0,12.0,0.07258115232322587,13.0
21,2000,Allen Iverson,0.109,7.0,0.03791282651726141,13.0
22,2001,Allen Iverson,0.904,1.0,0.11950314070653592,10.0
23,2002,Allen Iverson,0.023,8.0,0.200000228122153,6.0
24,2003,Allen Iverson,0.07,6.0,0.08784522726232821,9.0
25,2004,Allen Iverson,0.0,12.0,0.02783410405964959,15.0
26,2005,Allen Iverson,0.189,5.0,0.04625966634702253,14.0
27,2006,Allen Iverson,0.001,10.0,0.10955660076879833,8.0
28,2008,Allen Iverson,0.0,11.0,0.041446411710111986,12.0
29,2009,Allen Iverson,0.0,12.0,0.08549195272209956,12.0
30,1995,Alonzo Mourning,0.0,11.0,-0.04264920357767671,24.0
31,1996,Alonzo Mourning,0.005,12.0,-0.010576444954736974,22.0
32,2000,Alonzo Mourning,0.303,3.0,0.15532792576934107,8.0
33,2002,Alonzo Mourning,0.0,13.0,-0.015184999611446315,19.0
34,1986,Alvin Robertson,0.004,11.0,0.06559816197006654,12.0
35,1987,Alvin Robertson,0.0,13.0,0.05977172818158055,10.0
36,1988,Alvin Robertson,0.0,13.0,-0.015323087921049333,19.0
37,1991,Alvin Robertson,0.0,16.0,0.017619420797882507,20.0
38,2005,Amar'e Stoudemire,0.032,9.0,0.008538021859031825,19.0
39,2007,Amar'e Stoudemire,0.002,10.0,0.09128420408849353,9.0
40,2008,Amar'e Stoudemire,0.021,5.0,0.13979009464756859,8.0
41,2009,Amar'e Stoudemire,0.0,12.0,0.018891942386680516,14.0
42,2010,Amar'e Stoudemire,0.004,9.0,0.13572580157170816,5.0
43,2011,Amar'e Stoudemire,0.006999999999999999,9.0,0.01224725073989974,17.0
44,2016,Andre Drummond,0.0,10.0,0.04462746795395872,14.0
45,2018,Andre Drummond,0.0,13.0,0.1756561103779922,6.0
46,2012,Andre Iguodala,0.0,13.0,-0.02683868388316979,21.0
47,2004,Andrei Kirilenko,0.002,10.0,0.19340281240691914,5.0
