,predict_share
Giannis Antetokounmpo,1.002941527656815
LeBron James,0.8523853534200887
James Harden,0.7534886808174113
Anthony Davis,0.7193171320612626
Luka Doncic,0.6453871467282104
Kawhi Leonard,0.4481661539806217
Nikola Jokic,0.44525250793841936
Jimmy Butler,0.39525287530622594
Trae Young,0.3759767252139162
Khris Middleton,0.32234275265940854
Rudy Gobert,0.3199534220987906
Joel Embiid,0.29870091377480806
Bam Adebayo,0.2836240125646717
Russell Westbrook,0.26178547175126626
Chris Paul,0.2472591887118077
Jayson Tatum,0.1699262485296052
Domantas Sabonis,0.11628963833103884
Ben Simmons,0.10810059046465798
Kemba Walker,0.09172429741769778
Devin Booker,0.08300422246449474
Pascal Siakam,-0.022733494618734917
Donovan Mitchell,-0.02822645988564515
Kyle Lowry,-0.07303115657001141
Brandon Ingram,-0.13031780107840601
