,predict_share
Giannis Antetokounmpo,1.0405552306794472
LeBron James,0.8179951280057102
Nikola Jokic,0.7095361829059816
Joel Embiid,0.6268006188004458
Anthony Davis,0.5014675264949773
James Harden,0.4667210646838275
Bam Adebayo,0.43365808244026355
Kawhi Leonard,0.4091801895143122
Russell Westbrook,0.3475147370521058
Luka Doncic,0.3029573913667641
Domantas Sabonis,0.22983094100153684
Rudy Gobert,0.217307205464303
Trae Young,0.1936437135832812
Donovan Mitchell,0.17800773292318617
Jimmy Butler,0.13580561727163598
Kemba Walker,0.12105781075483281
Chris Paul,0.11338809264470713
Khris Middleton,0.10546516850370033
Ben Simmons,0.07883107707017219
Pascal Siakam,0.041120812687190464
Jayson Tatum,0.010646707594138646
Devin Booker,-0.08025730706688004
Kyle Lowry,-0.10411371682029265
Brandon Ingram,-0.1829199977433258
