,model,param,mae_avg,mse_avg,mape_avg,mvp_avg,top3_order_avg,top3_coverage_avg,mvp_in_top3_avg,mvp_in_top5_avg
0,LinearRegression,{},2006678761.452135,1.7572098731602642e+21,13949712164.283543,0.5789473684210527,0.07894736842105263,0.6929824561403509,0.8947368421052632,0.9473684210526315
1,Ridge,"{'alpha': 1e-05, 'random_state': 221}",0.1528651170425538,0.03667903230547595,0.9753070614554162,0.5789473684210527,0.07894736842105263,0.6929824561403509,0.8947368421052632,0.9473684210526315
2,Ridge,"{'alpha': 0.0001, 'random_state': 221}",0.1528053121490891,0.03666181304254515,0.974844284010332,0.5789473684210527,0.07894736842105263,0.6929824561403509,0.8947368421052632,0.9473684210526315
3,Ridge,"{'alpha': 0.001, 'random_state': 221}",0.15241942961446608,0.036551795016167433,0.971882510400454,0.5789473684210527,0.07894736842105263,0.6929824561403509,0.8947368421052632,0.9473684210526315
4,Ridge,"{'alpha': 0.01, 'random_state': 221}",0.15188086502883114,0.036374503074276976,0.9678211137381754,0.5789473684210527,0.07894736842105263,0.6929824561403509,0.8947368421052632,0.9473684210526315
5,Ridge,"{'alpha': 0.1, 'random_state': 221}",0.15178533536996697,0.03631675207023942,0.9654579921959217,0.5526315789473685,0.05263157894736842,0.6754385964912281,0.8947368421052632,0.9473684210526315
6,Lasso,"{'alpha': 1e-05, 'random_state': 221}",0.15165662647220265,0.03623739522350361,0.9626611435803462,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
7,Lasso,"{'alpha': 0.0001, 'random_state': 221}",0.1510263675754076,0.03598183685593801,0.9543423381046403,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
8,Lasso,"{'alpha': 0.001, 'random_state': 221}",0.14816196347297725,0.03499360192752906,0.9209591750027117,0.5526315789473685,0.02631578947368421,0.6754385964912282,0.8947368421052632,0.9210526315789473
9,Lasso,"{'alpha': 0.01, 'random_state': 221}",0.15424347848928333,0.03717764924605573,0.9464985706741212,0.5789473684210527,0.05263157894736842,0.6842105263157897,0.8947368421052632,0.9473684210526315
10,Lasso,"{'alpha': 0.1, 'random_state': 221}",0.2022056367007089,0.0559987799183955,1.2424147583853278,0.5263157894736842,0.02631578947368421,0.649122807017544,0.8421052631578947,0.9210526315789473
11,ElasticNet,"{'alpha': 1e-05, 'l1_ratio': 0.1, 'random_state': 221}",0.1517752663600128,0.03629356629904316,0.9639361751340584,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
12,ElasticNet,"{'alpha': 1e-05, 'l1_ratio': 0.3, 'random_state': 221}",0.15175245944189822,0.03628133144905551,0.9636533676413341,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
13,ElasticNet,"{'alpha': 1e-05, 'l1_ratio': 0.5, 'random_state': 221}",0.15172352279097934,0.036268384043943,0.9633381126192709,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
