,season,player,true,true_rank,pred,pred_rank
1,1981,Adrian Dantley,0.022,7.0,-0.08125821506522252,8.0
69,1981,Artis Gilmore,0.006,8.0,0.06282971137874771,7.0
310,1981,George Gervin,0.12,5.0,0.09243608059939518,6.0
453,1981,Julius Erving,0.6579999999999999,1.0,0.40294214263363265,2.0
461,1981,Kareem Abdul-Jabbar,0.414,3.0,0.23995753969799283,4.0
580,1981,Larry Bird,0.613,2.0,0.15299601572363858,5.0
641,1981,Marques Johnson,0.106,6.0,0.47140167455033516,1.0
679,1981,Moses Malone,0.261,4.0,0.29705619624172563,3.0
2,1982,Adrian Dantley,0.01,12.0,0.23213198712120955,6.0
11,1982,Alex English,0.017,10.0,-0.034706611912312335,11.0
70,1982,Artis Gilmore,0.0,13.0,0.2597915522621429,5.0
83,1982,Bernard King,0.014,11.0,-0.09476976729767207,12.0
311,1982,George Gervin,0.159,5.0,0.11959188887424393,8.0
336,1982,Gus Williams,0.16699999999999998,4.0,0.20812456091068984,7.0
366,1982,Jack Sikma,0.048,8.0,-0.19502056888664618,13.0
454,1982,Julius Erving,0.294,3.0,0.7937682541667817,1.0
462,1982,Kareem Abdul-Jabbar,0.045,9.0,0.08153580297333232,10.0
581,1982,Larry Bird,0.588,2.0,0.29144314384439607,4.0
618,1982,Magic Johnson,0.097,7.0,0.2948506932191881,3.0
680,1982,Moses Malone,0.735,1.0,0.5931128760243589,2.0
830,1982,Sidney Moncrief,0.146,6.0,0.1171883503009151,9.0
12,1983,Alex English,0.056,6.0,0.27518011889212124,3.0
337,1983,Gus Williams,0.004,9.0,0.2194221430024354,4.0
367,1983,Jack Sikma,0.017,8.0,-0.02805345915259111,10.0
455,1983,Julius Erving,0.149,5.0,0.17609652409315252,5.0
463,1983,Kareem Abdul-Jabbar,0.02,7.0,0.026576472371777946,9.0
582,1983,Larry Bird,0.485,2.0,0.7881041323942931,1.0
619,1983,Magic Johnson,0.406,3.0,0.4312777040102341,2.0
642,1983,Marques Johnson,0.002,10.0,0.06365828949101761,8.0
681,1983,Moses Malone,0.96,1.0,0.12616582404968418,7.0
831,1983,Sidney Moncrief,0.301,4.0,0.17011756255097332,6.0
3,1984,Adrian Dantley,0.116,6.0,0.28197139732463966,4.0
13,1984,Alex English,0.0,10.0,-0.0009966960323349316,8.0
84,1984,Bernard King,0.491,2.0,0.33636102498069415,3.0
313,1984,George Gervin,0.0,10.0,0.06088977228370329,7.0
356,1984,Isiah Thomas,0.151,4.0,-0.0674214133159527,12.0
368,1984,Jack Sikma,0.0,10.0,-0.013396957825474246,9.0
404,1984,Jeff Ruland,0.05,8.0,-0.15049006308976576,13.0
456,1984,Julius Erving,0.129,5.0,0.2815530285419125,5.0
539,1984,Kiki Vandeweghe,0.0,10.0,-0.041520152472252325,11.0
583,1984,Larry Bird,0.858,1.0,0.7301345198493012,1.0
620,1984,Magic Johnson,0.401,3.0,0.45228933868322,2.0
632,1984,Mark Aguirre,0.037000000000000005,9.0,-0.017537780986843,10.0
832,1984,Sidney Moncrief,0.092,7.0,0.10769184355055336,6.0
4,1985,Adrian Dantley,0.0,12.0,-0.08550600267606467,12.0
14,1985,Alex English,0.015,10.0,0.043770472185383436,10.0
85,1985,Bernard King,0.09,7.0,0.22570434376944443,6.0
338,1985,Hakeem Olajuwon,0.015,10.0,-0.11875988724306458,13.0
357,1985,Isiah Thomas,0.081,9.0,0.19371965345818254,7.0
465,1985,Kareem Abdul-Jabbar,0.264,4.0,0.14095116791643436,8.0
584,1985,Larry Bird,0.978,1.0,0.7724247629085854,1.0
621,1985,Magic Johnson,0.338,2.0,0.6448636778685897,2.0
654,1985,Michael Jordan,0.172,6.0,0.0937919803414545,9.0
670,1985,Micheal Ray Richardson,0.014,11.0,0.37623232258076056,3.0
682,1985,Moses Malone,0.279,3.0,0.3363476349995884,4.0
833,1985,Sidney Moncrief,0.083,8.0,-0.02429216716827263,11.0
857,1985,Terry Cummings,0.177,5.0,0.3254795574465332,5.0
5,1986,Adrian Dantley,0.003,10.0,0.4183014885530213,4.0
15,1986,Alex English,0.071,7.0,0.058584859987844046,9.0
