pos,fg,fga,fg3,fg3a,fta,efg,tov,pf,per,ts_pct,usg_pct,ows,dws,obpm,dbpm,vorp,season,player,age,win_pct,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
SF,9.7,18.6,0,0.2,6.5,0.522,3.2,2.8,25.1,0.572,28.4,7.8,6.1,5.2,2.3,6.9,81,Julius Erving,30,0.756097561,PHI,28,454,690,0.658,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231
PF,8.8,18.3,0.2,0.9,4,0.485,3.5,2.9,19.9,0.528,24.3,4.7,6.1,2.5,1.8,5.2,81,Larry Bird,24,0.756097561,BOS,20,423,690,0.613,82,39.5,21.2,10.9,5.5,2,0.8,0.478,0.27,0.863,10.8,0.16
C,10.5,18.2,0,0,6.9,0.574,3.1,3.1,25.5,0.616,26.3,9.6,4.6,4.7,1.4,6.1,81,Kareem Abdul-Jabbar,33,0.658536585,LAL,8,286,690,0.414,80,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,14.3,0.23
C,10.1,19.3,0,0,10.1,0.522,3.9,2.8,25.1,0.585,27.6,9.5,4.2,4.5,-1.2,4.3,81,Moses Malone,25,0.487804878,HOU,8,180,690,0.261,80,40.6,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,13.7,0.202
SG,10.4,21.1,0.1,0.4,7.6,0.494,3.1,2.6,22.9,0.555,32.3,8.1,2.4,4.2,-1.2,3.5,81,George Gervin,28,0.634146341,SAS,1,83,690,0.12,82,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182
SF,8.4,15.2,0,0.1,5,0.552,2.5,2.6,22,0.583,23.3,7.6,3.6,5.1,0.5,4.9,81,Marques Johnson,24,0.731707317,MIL,1,73,690,0.106,76,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0,0.706,11.2,0.211
C,7.7,14.2,0,0,4.8,0.545,2.3,3.8,25.2,0.579,27.1,6,4.9,3.3,2.1,4.3,81,Robert Parish,27,0.756097561,BOS,0,53,690,0.077,82,28,18.9,9.5,1.8,1,2.6,0.545,0,0.71,10.9,0.228
PG,6.7,15.4,0.1,0.6,6.3,0.441,2.6,3.1,17,0.516,24.6,4,4.4,1,0.8,2.5,81,Dennis Johnson,26,0.695121951,PHO,0,50,690,0.072,79,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154
PG,4.8,9.6,0,0.1,5.2,0.499,3.3,2.5,14.3,0.582,17.5,4.6,2.3,0.9,-1,1.4,81,Tiny Archibald,32,0.756097561,BOS,0,32,690,0.046,80,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,6.9,0.118
SF,9.7,18.5,0,0.2,4.1,0.526,2.6,2.8,18,0.556,24.5,5.5,3,1.4,-0.8,1.9,81,Jamaal Wilkes,27,0.658536585,LAL,0,19,690,0.028,81,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135
SG,8.4,15.9,0.1,0.5,6.1,0.534,3.9,2.7,25.7,0.582,24.3,3.8,2.6,5.6,3.3,3.8,81,Magic Johnson,21,0.658536585,LAL,0,18,690,0.026,37,37.1,21.6,8.6,8.6,3.4,0.7,0.532,0.176,0.76,6.4,0.225
SF,11.4,20.3,0,0.1,9.8,0.559,3.5,3.1,24.3,0.622,28.4,12.3,1.3,5.7,-1.4,5.4,81,Adrian Dantley,25,0.341463415,UTA,1,15,690,0.022,80,42.7,30.7,6.4,4,1.4,0.2,0.559,0.286,0.806,13.6,0.191
PG,6.4,13.4,0.2,0.5,5.4,0.484,3.7,2.9,17.3,0.553,23.3,3.4,1.9,1.8,-1.3,1.4,81,Phil Ford,24,0.487804878,KCK,1,15,690,0.022,66,34.7,17.5,1.9,8.8,1.5,0.1,0.478,0.306,0.831,5.2,0.11
SF,9,15.4,0,0.1,5.4,0.588,3.3,3.8,19.9,0.617,23.2,7.7,1.4,3.5,-0.7,3.6,81,Bernard King,24,0.475609756,GSW,0,12,690,0.017,81,36,21.9,6.8,3.5,0.9,0.4,0.588,0.333,0.703,9.1,0.15
PG,6.6,14.5,0,0.4,2.7,0.453,2.9,2.5,14.9,0.484,24.3,1.3,1.6,0.1,-2,0.1,81,Kelvin Ransey,22,0.548780488,POR,1,11,690,0.016,80,30.4,15.2,2.4,6.9,1.1,0.1,0.452,0.097,0.749,2.8,0.056
