,season,win_pct,team
0,2020,.299,ATL
1,2019,.354,ATL
2,2018,.293,ATL
3,2017,.524,ATL
4,2016,.585,ATL
5,2015,.732,ATL
6,2014,.463,ATL
7,2013,.537,ATL
8,2012,.606,ATL
9,2011,.537,ATL
10,2010,.646,ATL
11,2009,.573,ATL
12,2008,.451,ATL
13,2007,.366,ATL
14,2006,.317,ATL
15,2005,.159,ATL
16,2004,.341,ATL
17,2003,.427,ATL
18,2002,.402,ATL
19,2001,.305,ATL
20,1900,.341,ATL
21,1999,.620,ATL
22,1998,.610,ATL
23,1997,.683,ATL
24,1996,.561,ATL
25,1995,.512,ATL
26,1994,.695,ATL
27,1993,.524,ATL
28,1992,.463,ATL
29,1991,.524,ATL
30,1990,.500,ATL
31,1989,.634,ATL
32,1988,.610,ATL
33,1987,.695,ATL
34,1986,.610,ATL
35,1985,.415,ATL
36,1984,.488,ATL
37,1983,.524,ATL
38,1982,.512,ATL
39,1981,.378,ATL
40,2020,.672,BOS
41,2019,.598,BOS
42,2018,.671,BOS
43,2017,.646,BOS
44,2016,.585,BOS
45,2015,.488,BOS
46,2014,.305,BOS
47,2013,.506,BOS
48,2012,.591,BOS
49,2011,.683,BOS
50,2010,.610,BOS
51,2009,.756,BOS
52,2008,.805,BOS
53,2007,.293,BOS
54,2006,.402,BOS
55,2005,.549,BOS
56,2004,.439,BOS
57,2003,.537,BOS
58,2002,.598,BOS
59,2001,.439,BOS
60,1900,.427,BOS
61,1999,.380,BOS
62,1998,.439,BOS
63,1997,.183,BOS
64,1996,.402,BOS
65,1995,.427,BOS
66,1994,.390,BOS
67,1993,.585,BOS
68,1992,.622,BOS
69,1991,.683,BOS
70,1990,.634,BOS
71,1989,.512,BOS
72,1988,.695,BOS
73,1987,.720,BOS
74,1986,.817,BOS
75,1985,.768,BOS
76,1984,.756,BOS
77,1983,.683,BOS
78,1982,.768,BOS
79,1981,.756,BOS
80,2020,.469,NJN
81,2019,.512,NJN
82,2018,.341,NJN
83,2017,.244,NJN
84,2016,.256,NJN
85,2015,.463,NJN
86,2014,.537,NJN
87,2013,.598,NJN
88,2012,.333,NJN
89,2011,.293,NJN
90,2010,.146,NJN
91,2009,.415,NJN
92,2008,.415,NJN
93,2007,.500,NJN
94,2006,.598,NJN
95,2005,.512,NJN
96,2004,.573,NJN
97,2003,.598,NJN
98,2002,.634,NJN
99,2001,.317,NJN
100,1900,.378,NJN
101,1999,.320,NJN
102,1998,.524,NJN
103,1997,.317,NJN
104,1996,.366,NJN
105,1995,.366,NJN
106,1994,.549,NJN
107,1993,.524,NJN
108,1992,.488,NJN
109,1991,.317,NJN
110,1990,.207,NJN
111,1989,.317,NJN
112,1988,.232,NJN
113,1987,.293,NJN
114,1986,.476,NJN
115,1985,.512,NJN
116,1984,.549,NJN
117,1983,.598,NJN
118,1982,.537,NJN
119,1981,.293,NJN
120,2020,.354,CHA
121,2019,.476,CHA
122,2018,.439,CHA
123,2017,.439,CHA
124,2016,.585,CHA
125,2015,.402,CHA
126,2014,.524,CHA
127,2013,.256,CHA
128,2012,.106,CHA
129,2011,.415,CHA
130,2010,.537,CHA
131,2009,.427,CHA
132,2008,.390,CHA
133,2007,.402,CHA
134,2006,.317,CHA
135,2005,.220,CHA
136,2002,.537,CHA
137,2001,.561,CHA
138,1900,.598,CHA
139,1999,.520,CHA
140,1998,.622,CHA
141,1997,.659,CHA
142,1996,.500,CHA
143,1995,.610,CHA
144,1994,.500,CHA
145,1993,.537,CHA
146,1992,.378,CHA
147,1991,.317,CHA
148,1990,.232,CHA
149,1989,.244,CHA
150,2020,.338,CHI
151,2019,.268,CHI
152,2018,.329,CHI
153,2017,.500,CHI
154,2016,.512,CHI
155,2015,.610,CHI
156,2014,.585,CHI
157,2013,.549,CHI
