,predict_share
James Harden,0.373010686
LeBron James,0.365152998
Giannis Antetokounmpo,0.327629047
Anthony Davis,0.200288223
Luka Doncic,0.143810349
Trae Young,0.133784966
Nikola Jokic,0.081031511
Russell Westbrook,0.078656082
Kawhi Leonard,0.062743129
Chris Paul,0.030245271
Devin Booker,0.029960036
Khris Middleton,0.029558579
Bam Adebayo,0.021678585
Jayson Tatum,0.014000729
Kemba Walker,0.011358069
Jimmy Butler,0.009808195
Ben Simmons,0.006334476
Joel Embiid,0.000850809
Domantas Sabonis,-0.013843012
Brandon Ingram,-0.027954978
Pascal Siakam,-0.033056246
Rudy Gobert,-0.039948276
Donovan Mitchell,-0.083693317
Kyle Lowry,-0.087964617
Damian Lillard,
DeMar DeRozan,
Isaiah Thomas,
John Wall,
LaMarcus Aldridge,
Paul George,
Stephen Curry,
Victor Oladipo,
